feasible,figure_of_merit,noise_reduction_dB,blade_mass_g,on_front,chord_root_m,chord_tip_m,twist_root_deg,twist_tip_deg,tubercle_amp_m,tubercle_wl_m,n_blades,prop_radius_m,hub_radius_m,hub_height_m,shaft_hole_r_m,thickness_ratio,rpm,total_thrust_N,total_torque_Nm,rho_air
True,0.83503,0.76,20.2751,False,0.023052077672280905,0.012791856550685399,31.24139328986483,15.350461548190175,0.001466860253465888,0.06795557781315356,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.83573,0.24,21.3826,False,0.027794742068445785,0.007655492369915622,35.15440488246142,9.799073963351777,0.0004376151970687044,0.04596272167530226,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.80932,0.37,23.1279,False,0.03012425630751252,0.01197226029602174,29.087351710505168,18.815068747670054,0.0008352092696259848,0.03764340678831269,4,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.7859,0.78,21.8522,False,0.033866686214778494,0.013364103230365092,44.19837611123518,12.325558656282073,0.0019440167222690749,0.052599429402366255,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.76276,0.98,11.0879,False,0.024742038240930846,0.008678984401705747,42.324171399920914,9.479742998684426,0.0017321336375727874,0.03248313657108428,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.77959,1.25,17.031,False,0.026561076026474326,0.009308221809111141,37.54549111599309,16.883265146658072,0.002366469180584527,0.05656337946325656,4,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.68884,0.23,4.8124,True,0.020539713247028114,0.006191272860539916,33.071288390170125,13.867057923892386,0.00032422900663226076,0.04329365878113924,2,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.84954,1.11,31.2105,False,0.03222872772138676,0.011175847370389343,35.78965615515283,10.280667201962169,0.0025295515647700373,0.06785050202972004,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.84105,1.47,27.0748,False,0.0238963245744163,0.014,32.68557814650689,19.54761426642723,0.003,0.03,6,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.84406,1.51,23.5121,False,0.028,0.009662657342042249,36.596048378910886,11.917262490039569,0.003,0.04,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.73595,1.24,5.6929,True,0.021084518498399752,0.008469422914136568,35.82124564647512,6.911056705411458,0.0019371081916153,0.04946918740697649,2,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.81246,0.78,19.3071,False,0.034,0.009533329685617048,25.0,10.2971312678311,0.0017803972032983425,0.06188581415847409,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.84576,1.58,22.9222,False,0.021227001701253013,0.013772815888605456,39.50656862134813,14.7700224905123,0.003,0.03,6,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.8451,1.53,25.962,False,0.025185211981688636,0.011502426032983648,39.793019809170055,15.935326199604846,0.003,0.03,6,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.79563,0.59,9.1138,True,0.021352048285283518,0.009315813644940937,27.32791000528566,12.177038810630284,0.0009602532001618873,0.0392046323322091,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.82783,1.27,25.839,False,0.023071624363368102,0.014,25.0,18.589084956557116,0.0025526328206271435,0.05407931338040992,6,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.71893,0.83,6.0454,False,0.022908899262499283,0.0070998133021557275,39.49331694452178,6.0,0.0013074810592997217,0.04816888071420773,2,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.70869,0.81,5.9785,False,0.023508466643659572,0.006,35.32645241625123,11.85678099497828,0.001244112854552728,0.03,2,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.83733,0.89,22.1819,False,0.02459238125043405,0.012791856550685399,31.24139328986483,15.350461548190175,0.0017771008807657327,0.06795557781315356,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.83241,1.6,21.2554,False,0.02,0.013765858595681564,36.449889934519774,18.133277005961855,0.002937274876154368,0.03,6,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.80375,1.92,15.7,True,0.020168428677817936,0.008183102068171012,42.14448356677209,15.525258672606606,0.0028788063361569814,0.03,6,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.78702,1.25,15.5566,False,0.027752041782651577,0.012358286446571685,28.385327972752652,17.493150109110708,0.0026720364172709635,0.060496660029513094,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.78253,1.42,9.2794,True,0.026549925879692123,0.011300448665700473,30.441368943013053,7.09336757866858,0.002862889998159875,0.05346353267840667,2,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.68936,0.06,9.567,False,0.02212777743967858,0.009215597068119566,39.43421635403469,19.415852845654776,9.333998945420608e-05,0.030328393544426083,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.8437,1.29,30.9633,False,0.03263897260949062,0.010377348664072326,30.845991054683793,9.414664734058418,0.002903973008981573,0.0673349724658753,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.81886,0.5,19.3446,False,0.031981567467599,0.012416619539716709,35.11418613387542,6.273525274101753,0.0011663465204422225,0.045332850413527796,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.78518,0.22,10.6255,False,0.02917921055354237,0.011068604620540812,26.727007140345393,11.514265249866938,0.00046689084285822904,0.06170754973529573,2,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.76556,1.09,13.84,False,0.025157136499134123,0.006655683968790623,40.75838488659737,14.425920384133633,0.0017989320790728952,0.0510190184793554,4,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.78167,1.22,16.2654,False,0.026750970116163085,0.007977000883496189,44.96729875190665,11.232244607864988,0.0022121887325234455,0.04057911025434914,4,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.85073,1.19,31.3439,False,0.027131347901069282,0.013326409405751846,33.76123996183914,16.920898527157814,0.002582582083363586,0.039578052252428955,6,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.82059,0.73,13.3835,True,0.02031249711203701,0.008390245726374694,28.769616063220298,14.987079961954489,0.0011095392056429023,0.05709242737279824,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.81929,0.91,12.9274,True,0.02075402483980259,0.01120790531139889,34.69606186562252,10.286818642522945,0.0015628646399756282,0.05712854933198648,4,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.85651,1.15,32.956,True,0.027552267641272114,0.014,35.89800810964224,15.101554081445979,0.002550437170423714,0.05414066456265515,6,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.83008,0.82,17.3085,False,0.020636049289749166,0.012609814614869434,31.24139328986483,15.831248580430241,0.001466860253465888,0.06795557781315356,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.84727,1.13,30.3992,False,0.0324220629026445,0.010166338427746554,35.08289899336131,10.280667201962169,0.0025295515647700373,0.06758569626718088,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.78267,0.95,12.4407,False,0.034,0.008523248826943663,30.455850459772456,10.533089809559781,0.0020963378271206643,0.05810662000704634,2,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.80373,1.62,17.9419,False,0.02,0.014,40.73005171317427,16.70973228093785,0.003,0.03538588595497433,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.7634,1.48,9.3567,False,0.02648601550910848,0.011574931336370173,36.52646057570144,6.0215045234789315,0.003,0.06628129014037969,2,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.81913,0.96,12.7662,True,0.02,0.007980069236287093,28.769616063220298,14.987079961954489,0.0014246724834240739,0.0608443571103417,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.75851,1.42,14.8143,False,0.02685004646424553,0.012358286446571685,28.385327972752652,19.903473316864208,0.002976046774092102,0.05593471099089806,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.78927,1.29,15.9383,False,0.027752041782651577,0.012943857665802968,28.385327972752652,17.493150109110708,0.0027994239433924567,0.0671855671790145,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.79708,0.55,10.4859,False,0.02341634520368046,0.009315813644940937,26.017142315181502,12.861864863315251,0.0009602532001618873,0.04113729324698756,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
